Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,499.989990,504.750000,490.709991,500.000000,497.264771,1527600
2021-01-05,494.160004,505.359985,493.890015,505.359985,502.595459,1029900
2021-01-06,491.850006,499.839996,489.739990,490.220001,487.538300,977900
2021-01-07,495.970001,503.220001,495.519989,501.429993,498.686951,936200
2021-01-08,512.590027,514.280029,501.709991,508.739990,505.956970,734500
2021-01-11,500.500000,508.910004,499.429993,507.950012,505.171326,703000
2021-01-12,507.100006,514.789978,503.500000,513.929993,511.118591,651700
2021-01-13,511.209991,515.609985,509.380005,514.059998,511.247894,513700
2021-01-14,530.159973,546.400024,529.890015,544.650024,541.670593,1450300
2021-01-15,532.309998,536.849976,525.359985,527.500000,524.614319,869200
2021-01-19,533.000000,550.479980,530.609985,549.500000,546.494019,1504000
2021-01-20,555.570007,558.159973,543.159973,549.380005,546.374634,1121900
2021-01-21,568.000000,573.799988,565.609985,570.739990,567.617798,1272100
2021-01-22,563.489990,570.710022,562.789978,569.450012,566.334900,901600
2021-01-25,562.150024,568.219971,554.119995,567.609985,564.504944,966500
2021-01-26,563.179993,563.650024,548.440002,549.000000,545.996704,887700
2021-01-27,534.969971,539.520020,522.500000,524.630005,521.760071,1506800
2021-01-28,542.109985,553.840027,537.380005,547.219971,544.226440,968600
2021-01-29,540.960022,543.500000,528.299988,534.159973,531.237915,867300
2021-02-01,547.400024,555.469971,544.530029,554.390015,551.357239,849600
2021-02-02,553.780029,556.789978,549.450012,553.500000,550.472107,721600
2021-02-03,551.289978,551.719971,541.950012,542.909973,539.940002,635400
2021-02-04,546.960022,555.979980,544.280029,555.440002,552.401550,554500
2021-02-05,554.960022,556.140015,551.020020,552.809998,549.785889,461700
2021-02-08,557.969971,566.929993,557.969971,564.000000,560.914673,716900
2021-02-09,566.539978,571.929993,565.500000,565.500000,562.406433,483300
2021-02-10,571.429993,573.059998,559.700012,566.890015,563.788940,458600
2021-02-11,574.630005,591.789978,573.830017,591.510010,588.274231,975400
2021-02-12,591.969971,601.460022,589.150024,597.989990,594.718750,732400
2021-02-16,605.580017,608.710022,599.169983,603.140015,599.840576,621600
2021-02-17,598.349976,598.479980,581.460022,587.580017,584.365723,825100
2021-02-18,584.359985,589.460022,576.049988,582.479980,579.293579,716800
2021-02-19,591.840027,600.750000,589.390015,594.400024,591.148376,821500
2021-02-22,587.619995,590.119995,576.500000,578.500000,575.335388,753400
2021-02-23,571.719971,579.179993,560.130005,576.070007,572.918701,1004800
2021-02-24,573.340027,595.960022,565.549988,595.010010,591.755005,1023000
2021-02-25,582.630005,586.400024,559.659973,559.770020,556.707825,1288900
2021-02-26,572.340027,573.489990,560.700012,567.090027,563.987793,946500
2021-03-01,572.369995,584.359985,568.859985,583.549988,580.357727,679500
2021-03-02,579.030029,579.869995,563.000000,563.140015,560.059387,696100
2021-03-03,564.590027,565.950012,541.200012,543.599976,540.626221,1006900
2021-03-04,537.849976,541.330017,502.089996,510.500000,507.707367,1702500
2021-03-05,527.969971,530.849976,508.329987,527.039978,524.156860,1370100
2021-03-08,526.440002,529.169983,501.109985,502.190002,499.442810,1180700
2021-03-09,527.640015,543.210022,524.950012,539.520020,536.568604,1240500
2021-03-10,540.080017,541.820007,521.109985,523.330017,520.467163,876500
2021-03-11,546.989990,548.489990,540.010010,544.400024,541.421936,1009700
2021-03-12,534.119995,539.080017,528.599976,537.630005,534.688965,714900
2021-03-15,538.669983,547.799988,536.010010,547.190002,544.196655,582400
2021-03-16,546.380005,555.729980,545.960022,549.380005,546.374634,651600
2021-03-17,548.219971,566.049988,542.859985,559.570007,556.508972,841400
2021-03-18,547.979980,552.479980,539.020020,539.190002,536.240417,790000
2021-03-19,544.690002,557.090027,541.309998,547.419983,544.425354,1404600
2021-03-22,567.640015,577.989990,563.830017,575.989990,572.839050,1216800
