Video ID,Comment,Timestamp
mDpvfqjkuiw,"WARNING: Since we are growing, there are increased levels of scammers impersonating our channel and that create fake accounts. The only thing we offer is our software and our patreon/discord community. The only place we send people to get access is: ​patreon.com/everythingmoney

The real links to our content are located in the description of the video. We never give out WhatsApp numbers and we are never involved in cryptocurrency related things! BE CAREFUL to not call WhatsApp or click fake links. This is happening across the YouTube platform on many channels.",2021-08-19T15:36:07Z
mDpvfqjkuiw,The ideas bounced around are great….but I don’t quite understand what you guys are trying to say in this particular video.,2022-03-06T05:21:31Z
mDpvfqjkuiw,"Yesssss, the flowers are nice but going Rogue once in a while is powerful, baby! 😉",2021-11-08T04:13:13Z
mDpvfqjkuiw,Fantastic.,2021-10-26T16:49:10Z
mDpvfqjkuiw,I can’t thank you guys enough for the education I’ve received from your videos. You’ve made a life long subscriber.,2021-10-11T13:36:15Z
mDpvfqjkuiw,The best little channel,2021-10-04T00:48:32Z
mDpvfqjkuiw,Again Cisco Systems has also had 9 stock splits.,2021-10-02T14:18:20Z
mDpvfqjkuiw,"In terms of Microsoft (MSFT) you don't take into account that this company has 9 splits since 1987. 

Additionally as of July 26, 2021, Microsoft has  7,514,891,248 shares outstanding. Getting this stock to move is like trying to push a fright train.",2021-10-02T14:11:05Z
mDpvfqjkuiw,"Intel expanding into robo-taxis, discrete graphics, 5G infrastructure chips, Optane memory, pluggable optics transceivers, 3D manufacturing ... all with great growth potential.   

A few years out, more growth with foundry services, integrated in-package optical transceivers, personal autonomous vehicles using Intel developed lidar, ribbonfet process, very undervalued....",2021-08-26T14:16:15Z
mDpvfqjkuiw,"I started typing an argument on why owning AMZN is still a good investment because the risk is so low that it merits a 2% return in the short run.

Then I sold all my shares.

Great video.",2021-08-25T19:12:02Z
mDpvfqjkuiw,"Wouldn't Amazon stock at $6 divided by $3,300 be a 550x even at $100 it would be a 32x?",2021-08-25T18:54:32Z
mDpvfqjkuiw,"Why aren't we doing analysis on bank stocks such as $WFC or $BAC. These stocks form part of Berkshire H./Warren B. & Charlie Munger's portfolio which is people we admired, what's going on here?",2021-08-24T21:33:04Z
mDpvfqjkuiw,"This is super overwhelming? So what do I do?? Wtf, just dollar cost average in VOO?",2021-08-22T23:11:36Z
mDpvfqjkuiw,Hi!,2021-08-18T19:05:16Z
mDpvfqjkuiw,I like the sports analogy. Spot on.,2021-08-17T07:34:08Z
mDpvfqjkuiw,"On the close of Monday, August 16, 2021 Tesla closed at $686.17 and was up 86.90 percent for the past year (August 16, 2020 to August 16, 2021).  Nucor, ""a boring stock"" that makes steel, closed at $124.28 and was up 168.02 percent for the past year.  Nucor's P/E is 12 while Tesla's P/E is 359.",2021-08-17T05:14:33Z
mDpvfqjkuiw,"Paul meant 30 times on amazon, i am sure of it ><",2021-08-17T01:31:51Z
mDpvfqjkuiw,"Reading Richer, Wiser and Happier and the Little Book That Beats the Market.  Thank you for the education and the entertainment.",2021-08-17T01:04:37Z
mDpvfqjkuiw,Not funny 😤,2021-08-16T22:44:02Z
mDpvfqjkuiw,Invest per week instead of all at once!,2021-08-16T16:39:10Z
mDpvfqjkuiw,i've got a feeling that valuation concerns in the broad markets are really coming up everywhere these days which is why i'm hoping the bubble will pop sometime soon. i'm just starting my investment career and every company i like being overvalued multiple times is just pretty bad. not a good time to start investing for sure. i'm in 70% cash right now because i just can't find a good place to put my money in.,2021-08-15T20:00:29Z
mDpvfqjkuiw,"Paul, it's different now.",2021-08-15T18:45:18Z
mDpvfqjkuiw,Hire a fashion stylist to help Paul,2021-08-15T14:53:39Z
mDpvfqjkuiw,"Love this video Gents, Unfortunately most won't listen but this is a sage message in today's market.",2021-08-15T14:13:23Z
mDpvfqjkuiw,New patreon member here (from yesterday)!! Such a good software and discord. Happy to be here hope its for a long time. I think your patreon will explode when markets turn and people start losing money on overvalued stocks. Good luck!,2021-08-15T13:18:55Z
mDpvfqjkuiw,"As a comparison, how about the performance of some of the value stocks back then? What are the prices of them today? I think that will give a much better picture of how value stocks perform all these years.",2021-08-15T12:44:47Z
mDpvfqjkuiw,"I agree and understand your points on overpaying for companies will limit future returns. But I dont think you can wholly apply this to Amazon - this company is valued at cash from operations, which it heavily reinvests back into itself. Its moat is so wide that everyone I know agrees with using Amazon due to its convenience.",2021-08-15T12:18:53Z
mDpvfqjkuiw,Great job guys! Important to get the basics right. Cheers,2021-08-15T12:13:54Z
mDpvfqjkuiw,"You are the bees knees @ Ethandavid1  on 🆃🅴🅻🅴🅶🆁🅼 🌈 you are without a doubt the best friend of crypto this world has had. Big fans of you and your mission of making crypto understood, easy to make profit and even fun to !nvest. If there was a BEST CRYPTO CRONY 2021 award program I would vote for you! Keep up the good work!",2021-08-15T11:36:53Z
mDpvfqjkuiw,"I read and heard a lot about this same man online How do I get a hold
of him?? Checked IAPD site and was able to see that He’s a registered
trader.",2021-08-16T00:46:29Z
