Video ID,Comment,Timestamp
NJQ2a6v-nGU,"Nice video, I was able to build a big income stream during the covid-19 pandemic investing with a professional broker, Mrs Magdalena Ferguson.",2021-06-15T14:44:59Z
NJQ2a6v-nGU,Investwithferguson.,2021-06-15T15:18:25Z
NJQ2a6v-nGU,@Pamela Caballero you can reach her on Telegram with her username.,2021-06-15T15:18:18Z
NJQ2a6v-nGU,I was skeptical at first till I decided to try. It's huge returns is awesome. I can't say much.,2021-06-15T14:49:58Z
NJQ2a6v-nGU,"I'm new at this, how can I reach your broker?",2021-06-15T14:49:20Z
NJQ2a6v-nGU,You invest with Mrs Magdalena Ferguson too? Wow that woman has been a blessing to me and my family.,2021-06-15T14:47:50Z
NJQ2a6v-nGU,Mrs Magdalena Ferguson changed my life because of the high profits I got from investing with her.,2021-06-15T14:46:30Z
NJQ2a6v-nGU,I'm surprised you know her too. I've been making a lot of profits investing with her.,2021-06-15T14:45:32Z
NJQ2a6v-nGU,QCOM,2021-06-04T11:25:01Z
NJQ2a6v-nGU,I’m embarrassed to admit that after watching this video am still clueless. Which exactly is the better investment option between stock’s vs crypto.?,2021-05-29T14:44:58Z
NJQ2a6v-nGU,PLEASE DO NOT FALL FOR ANY CONTACT DETAILS CLAIMING TO BE EXPERT RYAN HANS AFTER THIS COMMENT.,2021-05-30T11:27:57Z
NJQ2a6v-nGU,Ryanmichaelhans@gmail. com,2021-05-30T11:26:52Z
NJQ2a6v-nGU,"Please beware of anyone who tries to lure you into contacting a Ryan Hans(clone) via mobile number. Expert Ryan doesn’t support that his personal number be displayed publicly, just his 📧 is acceptable and be careful to check the 📧details correctly.",2021-05-30T11:22:21Z
NJQ2a6v-nGU,@Ray Thanks so much for your recommendation. I emailed him already about investing.,2021-05-29T15:14:05Z
NJQ2a6v-nGU,"@Ray This dude must be very reliable and efficient, he seems to be popular as i have seen lots of success stories about his service.",2021-05-29T15:10:43Z
NJQ2a6v-nGU,Ryanmichaelhans@gmail. com,2021-05-29T15:07:51Z
NJQ2a6v-nGU,"@Ben Anton If you are new to the bitcoin market, there's really no need to panic. Get in touch with Mr. Ryan Hans, he’s on top recommendation for his efficiency.",2021-05-29T15:07:03Z
NJQ2a6v-nGU,I’m seriously nervous about taking the plunge into this bitcoin investing. I just need complete walkthrough until i can handle my trades perfectly. Which services can i get to?,2021-05-29T15:04:58Z
NJQ2a6v-nGU,"👍 to the bitcoin security. To date, the bitcoin network hasn’t been hacked, and the network continues to operate securely and properly. You just have to follow a professionals guideline closely and you will start making passive income within a week trading.",2021-05-29T15:02:18Z
NJQ2a6v-nGU,"Bitcoin is quickly entering more people’s radar as an investment option for their retirement portfolio. 
However, this cryptocurrency’s price has shown a lot of growth and fluctuation over the years. For this reason, it’s been challenging for the typical investor to get involved in bitcoin with confidence.",2021-05-29T14:53:10Z
NJQ2a6v-nGU,"Research shows that bitcoin’s returns during the last five years have been greater than those for all of the world’s other currencies. When you look at bitcoin’s potential for returns, plus its resilience and reliability, it’s easy to see why so many investors are becoming increasingly interested in cryptocurrencies.",2021-05-29T14:50:23Z
NJQ2a6v-nGU,"I know FANG assets have attracted a great deal of attention lately because of their major returns. Do you think that a digital asset, such as Bitcoin can provide even greater returns for today’s investors as well?",2021-05-29T14:49:12Z
NJQ2a6v-nGU,Why does it feel like you and mcash are brothers,2021-03-21T11:59:23Z
NJQ2a6v-nGU,Love your videos but pitching a stock for me to buy idk.,2021-03-17T02:54:28Z
NJQ2a6v-nGU,Major tech company are pulling away from QCom.,2021-03-13T22:42:44Z
NJQ2a6v-nGU,I see this stock having potential but right now with the chip shortage it's down.,2021-03-13T15:18:47Z
NJQ2a6v-nGU,Do you think the human race can do without Investment guys? I thought about that.,2021-03-13T04:54:15Z
NJQ2a6v-nGU,@Juana del Carmen thank you,2021-03-13T05:10:45Z
NJQ2a6v-nGU,Whatsap Laurel,2021-03-13T05:05:42Z
NJQ2a6v-nGU,Y'all should invest in bitcoin with Laurel and see why she's called the Crypto messiah,2021-03-13T05:05:37Z
NJQ2a6v-nGU,I've lost a lot trying to invest in bitcoin myself. I really need someone to trust and invest with,2021-03-13T05:02:37Z
NJQ2a6v-nGU,I've always thought of Investing in bitcoin but I need help to do that,2021-03-13T04:59:44Z
NJQ2a6v-nGU,You're absolutely right. Investments are wise way of increasing wealth,2021-03-13T04:56:56Z
NJQ2a6v-nGU,how do you rank Qualcomm vs TSMC?,2021-03-12T19:06:27Z
NJQ2a6v-nGU,You're gonna get sued if you don't include a disclaimer that this isn't financial advice,2021-03-12T17:22:18Z
NJQ2a6v-nGU,"The overwrought sailboat apparently observe because vise conversly grab on a cooperative scooter. aspiring, guttural H habitual male",2021-03-11T20:42:10Z
NJQ2a6v-nGU,Nvdia has not yet purchased ARM and its very likely that merger wont be approved.,2021-03-11T06:31:45Z
NJQ2a6v-nGU,The kink to your second YouTube channel is not working. What is the name of it please.,2021-03-09T22:05:28Z
NJQ2a6v-nGU,"Well, yesterday, for the first time in my life, I invested in the stock market and bought Qualcomm shares. So, Casgain, I hope you know how convincing you are.",2021-03-09T17:25:58Z
NJQ2a6v-nGU,"Good investments, Big profit Thanks to  Ramesh Vijay . We started working 5 weeks ago and I have made over 23,450usd. He is so Reliable in his work",2021-03-09T16:15:22Z
NJQ2a6v-nGU,@ISLA VERDE RENTALS P.O.C. NILSA PEREZ why dont you contact him ?,2021-03-11T06:36:06Z
NJQ2a6v-nGU,@Eric Dale where I can find Ramesh Vijay mentoring program? How does it work?,2021-03-11T02:22:14Z
NJQ2a6v-nGU,"I'm not here to converse for him but to testify just for what I'm sure of, he's trust worthy and best option ever seen",2021-03-09T16:27:00Z
NJQ2a6v-nGU,He's really made name for himself,2021-03-09T16:21:17Z
NJQ2a6v-nGU,"It's not about watching videos and wasting your time on strategies, I was ignorant doing so...so I decided to try  Ramesh and ever since then he's has made about $14,000 for on every $5,000 I invested just in 2weeks to",2021-03-09T16:20:41Z
NJQ2a6v-nGU,He's success story is everywhere...wow,2021-03-09T16:20:11Z
NJQ2a6v-nGU,How do i contact Ramesh Vijay? i saw alot of good reviews about his strategies and successes in trading,2021-03-09T16:19:02Z
NJQ2a6v-nGU,"Ramesh is obviously the best, I invested $3,000 and he made profit of $28,000 for me just in 15days",2021-03-09T16:18:37Z
NJQ2a6v-nGU,Yes I'm a living testimony of  Ramesh he has changed my financial status for the best. All thanks to my aunty who introduced him to me,2021-03-09T16:18:10Z
NJQ2a6v-nGU,"You're right sir, Thanks for introducing me to  Ramesh,You see many people remain poor because of ignorance",2021-03-09T16:17:50Z
NJQ2a6v-nGU,"Having professional mentor you  is also very important when it comes to trading, without proper mentorship, one tends to opt out of the market early enough. I do my investment on  Ramesh Vijay platform. He's pretty good",2021-03-09T16:17:14Z
NJQ2a6v-nGU,Stock trading involves a whole lot of risk and  Ramesh recognizes that and best believe this is the main reason for his long term success,2021-03-09T16:15:56Z
NJQ2a6v-nGU,Because of the economic crisis and the rate of unemployment now is the best time to invest and make money 💯,2021-03-09T14:23:33Z
NJQ2a6v-nGU,I'm from UK 🇬🇧 i and my colleagues gave him a try and it has been good returns of our investment Thanks Mr Frederick 🇺🇲 👍,2021-03-09T14:55:57Z
NJQ2a6v-nGU,"My first investment with expert Frederick gave me the assurance that has made me invest without the fear of losing, I got four of my friends involved with him already",2021-03-09T14:55:23Z
NJQ2a6v-nGU,"@Jarsi Thankgod Thanks , placing my trades with expert Frederick ASAP",2021-03-09T14:54:49Z
NJQ2a6v-nGU,Mr Frederick on what'sAp,2021-03-09T14:54:09Z
NJQ2a6v-nGU,@Dee Hernandez 1 4 1 5 7 1 2 7 6 5 1,2021-03-09T14:51:35Z
NJQ2a6v-nGU,How do i start my trade with Mr Frederick Ried,2021-03-09T14:50:45Z
