Video ID,Video Title,Timestamp,query
S1WVSSwdoPU,Warren Buffett: Why I SOLD Apple Stock? (UNBELIEVABLE),2021-11-24T12:30:33Z,apple stock
_EV0Wt_EVbE,Investing $50k in APPLE Stock: 6 Months Later!,2021-12-16T12:00:17Z,apple stock
0xYd0975zzs,Five reasons Apple&#39;s stock will grow,2021-12-22T16:18:44Z,apple stock
3ujdz_Ik60Y,"Apple&#39;s stock is a great investment, could hit $200 a share: Investor",2021-09-02T11:32:41Z,apple stock
4ChWNHpP_cg,Apple shares surge on plans to have an autonomous vehicle by 2025,2021-11-18T18:11:16Z,apple stock
e89NvuOck14,Apple shares have &#39;substantial upside&#39; over next 12 to 24 months: Neuberger Berman analyst,2021-12-14T13:31:41Z,apple stock
EltGuTkvLyI,Here are some risks and catalysts to Apple&#39;s stock price,2021-12-09T16:41:22Z,apple stock
XHIwFIuhgI0,Why I Bought $50k of Apple Stock? (With Apple Store Tour),2021-07-16T08:00:21Z,apple stock
asRygKhbi_E,Apple Stock Analysis - $AAPL -is Apple&#39;s Stock a Good Buy Today?,2021-06-16T12:15:01Z,apple stock
50Kme3i5JZE,Outlook For Apple (AAPL) and Tesla (TSLA) In 2022,2021-12-20T17:14:49Z,apple stock
Ux-1pwfXjN4,Apple (AAPL) Stock - Should You Buy Apple Stock On The Dip??,2021-10-28T22:45:57Z,apple stock
QkzrotUV9ek,THE BIG Apple Stock Price Prediction ( AAPL Stock Analysis ) $AAPL,2021-11-23T00:00:06Z,apple stock
sByLH7kwh0I,Why Apple is the most overpriced tech stock that exists: Dan Niles,2021-11-04T15:58:52Z,apple stock
5JgIAA7Xeto,AAPL STOCK (THIS PATTERN!) WILL MAKE YOU RICH - Key Levels + Analysis,2021-11-13T19:40:27Z,apple stock
tELJX1bPpsc,Is It a Good Idea to Buy Apple Stock??,2021-10-21T15:30:14Z,apple stock
GiibQCnVPck,What Will Apple Stock Price Be In 10 Years? (Apple Stock Price Prediction),2021-07-03T11:59:48Z,apple stock
vPiwcjh7gAE,"Ultimate safety trade: &#39;Stay long&#39; Apple, says Chartmaster",2021-11-30T23:20:20Z,apple stock
gqe_nMBTHSw,Apple Stock (AAPL Stock): Unstoppable or watch out below?  Not sure...,2021-12-11T05:46:08Z,apple stock
aVEvE-C5npU,Morgan Stanley picks Apple as a smart bet in 2022,2021-12-30T13:02:28Z,apple stock
JB6vgShLEc0,Gene Munster breaks down Apple&#39;s earnings,2021-10-28T22:02:54Z,apple stock
k5ZeaQmeZmA,APPLE STOCK ANALYSIS 2021 | Tech Stocks to BUY? |  AAPL Stock Analysis,2021-12-21T16:00:24Z,apple stock
IQ3osmrzXVI,Singapore moomoo App | Free Apple Stock | Totally Legit &amp; Proven! 💰31 July End,2021-04-01T11:06:15Z,apple stock
Vn62z88z7og,"Jim Cramer says own Apple, don&#39;t trade it",2021-12-09T17:49:35Z,apple stock
eH0YADA6250,Why I&#39;m Buying So Much Apple Stock | Joseph Carlson Ep. 152,2021-05-07T21:12:27Z,apple stock
PFBgpSbNmJ0,Why I Invested over 100k into Apple (AAPL) Stock,2021-11-16T00:53:39Z,apple stock
KUEo9KOlRwY,Should you buy more shares of Apple?,2021-07-28T16:56:41Z,apple stock
0nIaBLWTX28,How to Buy and Sell Apple Stocks from India | How to Buy and Sell Apple Shares from India,2021-07-28T21:16:20Z,apple stock
4uPRxqVXk3c,Apple Stock - BIG NEWS | #AAPL,2021-11-19T22:00:01Z,apple stock
AjE-GMCShaw,DON’T BUY APPLE STOCK BEFORE WATCHING THIS! | Apple Stock Analysis,2021-05-02T13:00:03Z,apple stock
lllkOiGezmU,Apple Stock Analysis And 2026 Price Prediction!,2021-11-09T22:41:33Z,apple stock
